球员姓名,位置,身高,体重,年龄,球龄,上场次数,场均时间,进攻能力,防守能力,是否入选过全明星,球员薪金
特里-罗齐尔,控球后卫,1.85,86,23,1,74,17.07,7.31,2,否,198
卢克-巴比特,大前锋,2.06,102,28,6,68,15.65,5.289,1,否,197
拉沙德-沃恩,小前锋,1.98,92,21,1,41,11.18,4.021,1,否,189
朗斯通-加洛维,得分后卫,1.88,91,25,2,74,20.18,9.167,1,否,180
凯文-塞拉芬,中锋,2.06,129,27,6,49,11.4,5.199,2,否,180
萨姆-德克尔,大前锋,2.06,104,23,1,77,18.42,8.537,2,否,179
杰里安-格兰特,得分后卫,1.93,90,24,1,63,16.32,7.791,1,否,171
泰勒-泽勒,中锋,2.13,113,27,4,51,10.28,4.314,1,否,171
马里克-比斯利,控球后卫,1.96,89,20,0,22,7.48,4.27,0,否,170
德隆-莱特,得分后卫,1.96,83,25,1,27,16.53,7.671,2,否,165
卡里斯-莱维特,小前锋,2.01,92,23,0,57,21.68,10.14,2,否,163
沙巴兹-穆罕默德,小前锋,1.98,101,24,3,78,19.42,11.349,1,否,158
